language_count,primary_ratio,secondary_ratio,has_docs,has_tests,has_scripts,has_infrastructure,has_data,context
1,0.85,0.05,1,1,0,0,0,pure_code
1,0.86,0.05,1,1,0,0,0,pure_code
1,0.87,0.05,1,1,0,0,0,pure_code
1,0.88,0.05,1,1,0,0,0,pure_code
1,0.89,0.05,1,1,0,0,0,pure_code
1,0.9,0.05,1,1,0,0,0,pure_code
1,0.91,0.05,1,1,0,0,0,pure_code
1,0.92,0.05,1,1,0,0,0,pure_code
1,0.93,0.05,1,1,0,0,0,pure_code
1,0.94,0.05,1,1,0,0,0,pure_code
3,0.35,0.3,1,1,1,0,0,polyglot_balanced
3,0.37,0.31,1,1,1,0,0,polyglot_balanced
3,0.3899999999999999,0.32,1,1,1,0,0,polyglot_balanced
3,0.41,0.3299999999999999,1,1,1,0,0,polyglot_balanced
3,0.43,0.3399999999999999,1,1,1,0,0,polyglot_balanced
3,0.4499999999999999,0.35,1,1,1,0,0,polyglot_balanced
3,0.47,0.36,1,1,1,0,0,polyglot_balanced
3,0.49,0.37,1,1,1,0,0,polyglot_balanced
3,0.51,0.38,1,1,1,0,0,polyglot_balanced
3,0.53,0.39,1,1,1,0,0,polyglot_balanced
2,0.6,0.25,1,1,1,0,0,polyglot_scripted
2,0.61,0.25,1,1,1,0,0,polyglot_scripted
2,0.62,0.25,1,1,1,0,0,polyglot_scripted
2,0.63,0.25,1,1,1,0,0,polyglot_scripted
2,0.64,0.25,1,1,1,0,0,polyglot_scripted
2,0.65,0.25,1,1,1,0,0,polyglot_scripted
2,0.6599999999999999,0.25,1,1,1,0,0,polyglot_scripted
2,0.6699999999999999,0.25,1,1,1,0,0,polyglot_scripted
2,0.6799999999999999,0.25,1,1,1,0,0,polyglot_scripted
2,0.69,0.25,1,1,1,0,0,polyglot_scripted
1,0.75,0.1,1,0,0,0,0,documentation
1,0.76,0.1,1,0,0,0,0,documentation
1,0.77,0.1,1,0,0,0,0,documentation
1,0.78,0.1,1,0,0,0,0,documentation
1,0.79,0.1,1,0,0,0,0,documentation
1,0.8,0.1,1,0,0,0,0,documentation
1,0.81,0.1,1,0,0,0,0,documentation
1,0.8200000000000001,0.1,1,0,0,0,0,documentation
1,0.83,0.1,1,0,0,0,0,documentation
1,0.84,0.1,1,0,0,0,0,documentation
2,0.45,0.35,1,0,1,1,0,infrastructure
2,0.47,0.35,1,0,1,1,0,infrastructure
2,0.49,0.35,1,0,1,1,0,infrastructure
2,0.51,0.35,1,0,1,1,0,infrastructure
2,0.53,0.35,1,0,1,1,0,infrastructure
2,0.55,0.35,1,0,1,1,0,infrastructure
2,0.5700000000000001,0.35,1,0,1,1,0,infrastructure
2,0.5900000000000001,0.35,1,0,1,1,0,infrastructure
2,0.61,0.35,1,0,1,1,0,infrastructure
2,0.63,0.35,1,0,1,1,0,infrastructure
2,0.6,0.25,1,1,0,0,1,data_science
2,0.61,0.25,1,1,0,0,1,data_science
2,0.62,0.25,1,1,0,0,1,data_science
2,0.63,0.25,1,1,0,0,1,data_science
2,0.64,0.25,1,1,0,0,1,data_science
2,0.65,0.25,1,1,0,0,1,data_science
2,0.6599999999999999,0.25,1,1,0,0,1,data_science
2,0.6699999999999999,0.25,1,1,0,0,1,data_science
2,0.6799999999999999,0.25,1,1,0,0,1,data_science
2,0.69,0.25,1,1,0,0,1,data_science
21,0.795,0.11699999999999999,1,1,0,0,1,pure_code
21,0.67,0.09699999999999999,1,1,1,0,1,pure_code
27,0.757,0.077,1,1,1,1,0,pure_code
19,0.73,0.08199999999999999,1,1,1,1,0,pure_code
23,0.831,0.10400000000000001,1,1,0,0,0,polyglot_balanced
43,0.81,0.077,0,1,0,0,1,polyglot_balanced
26,0.521,0.251,0,1,0,0,1,polyglot_scripted
19,0.813,0.14,1,1,0,0,0,polyglot_scripted
15,0.515,0.368,1,1,0,0,0,documentation
22,0.62,0.349,1,1,0,0,1,infrastructure
25,0.7759999999999999,0.14,0,1,1,0,1,data_science
25,0.35,0.281,1,1,0,0,0,data_science
