model_id,action,language,complexity,context_window,cost_per_1m,has_coder_tag,has_instant_tag,model_size,success
llama-3.1-8b-instant,edit,go,simple,128000,0.05,0,1,8,1
llama-3.1-8b-instant,edit,python,simple,128000,0.05,0,1,8,1
llama-3.1-8b-instant,edit,go,complex,128000,0.05,0,1,8,0
llama-3.3-70b-versatile,edit,go,complex,128000,0.59,0,0,70,1
llama-3.3-70b-versatile,review,python,complex,128000,0.59,0,0,70,1
qwen-2.5-coder-32b,edit,go,simple,32000,0.14,1,0,32,1
qwen-2.5-coder-32b,edit,go,complex,32000,0.14,1,0,32,1
qwen-2.5-coder-32b,edit,python,complex,32000,0.14,1,0,32,1
qwen-2.5-coder-32b,edit,typescript,simple,32000,0.14,1,0,32,1
deepseek-r1-distill-qwen-32b,edit,go,complex,64000,0.14,1,0,32,1
deepseek-r1-distill-qwen-32b,edit,python,complex,64000,0.14,1,0,32,1
deepseek-coder-33b,edit,go,complex,16000,0.14,1,0,33,1
claude-4.5-sonnet,edit,go,complex,200000,3.00,0,0,0,1
claude-4.5-sonnet,review,python,complex,200000,3.00,0,0,0,1
claude-4.5-sonnet,plan,go,complex,200000,3.00,0,0,0,1
gpt-4o,edit,python,complex,128000,2.50,0,0,0,1
gpt-4o,review,go,complex,128000,2.50,0,0,0,1
gpt-oss-120b,plan,go,complex,128000,0.60,0,0,120,1
gpt-oss-120b,research,python,simple,128000,0.60,0,0,120,1
gemini-2.0-flash-exp,route,go,simple,1000000,0.00,0,1,0,1
gemini-2.0-flash-exp,route,python,simple,1000000,0.00,0,1,0,1
kimi-k2-instruct,edit,go,simple,128000,0.14,0,0,0,0
kimi-k2-instruct,edit,python,complex,128000,0.14,0,0,0,0
llama-3.1-8b-instruct,edit,go,complex,128000,0.05,0,0,8,0
mixtral-8x7b,edit,go,simple,32000,0.24,0,0,56,1
mixtral-8x7b,review,python,complex,32000,0.24,0,0,56,1
codestral-latest,edit,go,complex,32000,0.20,1,0,22,1
codestral-latest,edit,typescript,simple,32000,0.20,1,0,22,1
gemma2-9b,edit,go,simple,8000,0.20,0,0,9,1
